timestamps,#packets,#bytes,#unique_IP_sources,#unique_IP_destinations
1552600800,44992415.033333, 1940105484.4167,414347.38333333,14224538.683333
1552604400,44908402.533333, 2070454958.1833,408881.56666667,14252789
1552608000,34968922.566667, 1574872792.8333,425669.41666667,13148458.833333
1552611600,34571084.1, 1589266656.15,451501.1,13208925.15
1552615200,36470454.066667, 1687112596.65,467870.83333333,13440328.616667
1552618800,34402633.85, 1675444147.1,478010.48333333,13043551.85
1552622400,34514776.383333, 1595218786.4333,492226.28333333,13074488.833333
1552626000,33738426.333333, 1587498453.6167,510334.41666667,12794896.533333
1552629600,34263723.866667, 1739233223.25,522802.85,12971036.2
1552633200,33993501.933333, 1632214804.65,533604.13333333,12899583.666667
1552636800,34618683.966667, 1606796354.4167,533379.78333333,12897142.716667
1552640400,33039545.1, 1519160232.3833,519952.41666667,12947173.416667
1552644000,31896319.35, 1530878942.65,514187.28333333,12828753.483333
1552647600,31307634.683333, 1705139798.3167,519807.21666667,12326551.416667
1552651200,30173957.933333, 1774116227.6333,531754.43333333,12306899.066667
1552654800,29304629.9, 1369802265.7,545063.66666667,12285022.016667
1552658400,32043710.916667, 1728733295.1167,548259.8,12352925.433333
1552662000,34486115.283333, 1687284353.6333,552534.25,12463682.366667
1552665600,33630779.283333, 1670175094.15,539573.75,12106198.466667
1552669200,34446162.3, 1712515321.8167,517617.08333333,12211418.583333
1552672800,32317442.316667, 1949897267.9,489185.06666667,11668018.183333
1552676400,32762980.433333, 1754615982.3333,473616.83333333,11794361.333333
1552680000,34293696.433333, 1782264813.0333,456108.71666667,12089277.016667
1552683600,33339962.633333, 1584272773.0667,440420.98333333,11980420.083333
1552687200,33717060.283333, 1575728169.8333,431274.86666667,11985969.516667
1552690800,32947403.533333, 1518333601.5333,427893.65,11942084.75
1552694400,33669445.2, 1567040182.2167,433386.83333333,12126172.266667
1552698000,33636153.766667, 1573032542.7667,452860.31666667,12126122.583333
1552701600,33814431.35, 1579852660.25,466602.1,12084832.95
1552705200,31575222.933333, 1569488141.1333,477575.45,12371397.083333
1552708800,30277776.7, 1415927206.9333,491724.7,12030070.55
1552712400,28130861.483333, 1383789018.8167,509422.5,12035265.4
1552716000,31152589, 1427245494.35,518761.13333333,12305207.883333
1552719600,29990484.866667, 1385381628.9667,529018.78333333,12159106.9
1552723200,27225272.6, 1274301181.8833,531942.85,11824288.416667
1552726800,31317569.5, 1520035557.6833,528084.98333333,12563250.683333
1552730400,29216235.683333, 1351545675.3833,523854.23333333,12201248.566667
1552734000,30027469.033333, 1492673310.1167,528590.83333333,12286365.516667
1552737600,29347557.3, 1381932792.7833,535764.06666667,12161041.116667
1552741200,29151555.3, 1457073349.95,545549.73333333,12092193.633333
1552744800,32990486.883333, 1757245682.1,558138.51666667,12143489.85
1552748400,30283795, 1570858288.1833,559076.2,12127942.466667
1552752000,28070972.533333, 1343554457.9,546978.53333333,11909107.516667
1552755600,29078903.75, 1385745706.55,524381.73333333,12080521.483333
1552759200,28339041.55, 1297295256.1,506780.23333333,11987084.766667
1552762800,27827599.4, 1270455770.35,483489.35,11917943.133333
1552766400,29065439.883333, 1313247194.4833,460906.68333333,12171904.533333
1552770000,28939817.75, 1333181866.4167,445520.35,12149916.283333
1552773600,28953315.533333, 1589536417.9667,433243.93333333,12074027.783333
1552777200,30325577.166667, 1845431585.7167,428070,12224036
1552780800,29358117.833333, 1394611478.0167,429744.43333333,12296206.25
1552784400,29158372.366667, 1481595198.8,441002.53333333,12245732.25
1552788000,30440970.316667, 1851957348.5667,458799.3,12218833.2
1552791600,30063807.233333, 1745233914.35,462393.45,12322700.333333
1552795200,30903716.633333, 1518843406.0167,475029.58333333,12504338.433333
1552798800,30431993.15, 1392835806.4333,491651.6,12405262.466667
1552802400,29760079.9, 1454846193.7,505493.26666667,12257047.483333
1552806000,33075862.683333, 1558600239.8667,514330.96666667,12709873.866667
1552809600,31852493.766667, 1578951984.0667,523517,12575701.533333
1552813200,31804772.166667, 1517171099.9167,518641.85,12597270.95
1552816800,31138440.95, 1484617991.05,517086.6,12497426.016667
1552820400,30724578.366667, 1501387321.9833,521712.31666667,12458000.15
1552824000,35639551.583333, 1744727820.7167,530390.75,12644109.883333
1552827600,32565809.266667, 1506374562.4333,543157.61666667,12392405.6
1552831200,32428046.75, 1595307478.75,551783.9,12364063.633333
1552834800,32174952.6, 1495429894.2333,549674.05,12132713.7
1552838400,31039894.216667, 1571772123.45,534662.35,12073349.6
1552842000,31911782.85, 1584874127.6667,511482.28333333,12339008.3
1552845600,31573350.683333, 1670866149.9,490723.06666667,12266763.95
1552849200,32084899.383333, 1503177902.9,469649.61666667,12481557.533333
1552852800,31416109.066667, 1434305312.1833,447762.85,12352989.033333
1552856400,31031302.466667, 1453451164.9667,430277.06666667,12270003.616667
1552860000,29810062.6, 1403562459.7667,419473.63333333,12078900.766667
1552863600,29827944.083333, 1410823547.2,414231.65,12093834.4
1552867200,33934874.983333, 1601540191.4333,420380.31666667,12709456.7
1552870800,33780184.75, 1573060458.0667,446479.85,12708744.25
1552874400,34211441.633333, 2023881665.5833,468621.61666667,12749061.116667
1552878000,31948733.916667, 1495735359.4667,483175.46666667,12690728.983333
1552881600,30988061.6, 1454905921.2,504688.63333333,12441170.6
1552885200,32014626.316667, 1528432961.6,522242.58333333,12483447.316667
1552888800,32257205.333333, 1870118749.6667,535535.9,12722860.183333
1552892400,32995178.05, 1580543366.0667,540974.9,12832638.283333
1552896000,32305622.566667, 1644892559.1333,537158.63333333,12497501.433333
1552899600,32114127.9, 1527918577.5167,528989.55,12586328.966667
